LeftMotor,RightMotor,LeftTarget,RightTarget
0,0,120.0,120.0
36,71,120.0,120.0
104,145,120.0,120.0
90,65,120.0,120.0
38,17,120.0,120.0
50,104,120.0,120.0
84,126,120.0,120.0
79,30,120.0,120.0
54,47,120.0,120.0
58,127,120.0,120.0
73,91,120.0,120.0
72,26,120.0,120.0
60,82,120.0,120.0
62,120,120.0,120.0
70,59,120.0,120.0
70,39,120.0,120.0
62,104,120.0,120.0
64,107,120.0,120.0
69,42,120.0,120.0
69,58,120.0,120.0
64,114,120.0,120.0
64,84,120.0,120.0
69,39,120.0,120.0
68,80,120.0,120.0
65,111,120.0,120.0
65,67,120.0,120.0
68,46,120.0,120.0
67,95,120.0,120.0
66,102,120.0,120.0
66,52,120.0,120.0
67,59,120.0,120.0
66,105,120.0,120.0
66,88,120.0,120.0
67,49,120.0,120.0
67,76,120.0,120.0
66,103,120.0,120.0
66,70,120.0,120.0
67,53,120.0,120.0
67,90,120.0,120.0
67,96,120.0,120.0
66,60,120.0,120.0
66,64,120.0,120.0
67,96,120.0,120.0
68,84,120.0,120.0
65,55,120.0,120.0
66,77,120.0,120.0
68,97,120.0,120.0
67,71,120.0,120.0
65,61,120.0,120.0
66,87,120.0,120.0
68,89,120.0,120.0
67,64,120.0,120.0
64,68,120.0,120.0
67,90,120.0,120.0
69,82,120.0,120.0
66,63,120.0,120.0
64,77,120.0,120.0
67,89,120.0,120.0
70,76,120.0,120.0
65,67,120.0,120.0
65,81,120.0,120.0
67,84,120.0,120.0
69,73,120.0,120.0
66,72,120.0,120.0
64,81,120.0,120.0
67,81,120.0,120.0
69,73,120.0,120.0
65,74,120.0,120.0
65,81,120.0,120.0
68,77,120.0,120.0
67,73,120.0,120.0
66,78,120.0,120.0
66,79,120.0,120.0
